Behaviour, start_time(ms)
no_activity,0.0000
other,0.1500
dig,43.9000
other,45.3500
dig,46.3500
other,47.5000
rear,47.7000
other,48.9000
dig,53.8500
other,54.6500
dig,62.1000
other,62.6000
dig,134.2000
other,135.5500
rear,135.9000
other,138.6000
rear,339.6500
other,340.9000
rear,347.6000
other,349.4500
dig,352.3500
other,353.8000
rear,383.0500
other,386.4500
dig,390.5000
other,392.2000
rear,458.8500
other,460.2000
dig,465.2500
other,466.8500
dig,498.3000
other,498.8000
dig,524.5000
other,524.9500
dig,525.6500
other,526.0500
dig,598.5500
other,598.9500
dig,599.8500
other,600.4000
dig,600.8000
other,602.2000
dig,602.6500
other,604.0000
dig,604.9000
other,606.1000
rear,614.0000
other,614.3000
rear,617.3000
other,618.3500
rear,658.9000
other,660.3000
dig,663.6500
other,664.7500
dig,666.9000
other,667.4000
groom,680.4500
other,680.9000
rear,682.9500
other,684.2000
groom,701.2500
other,702.1500
groom,702.6000
other,704.8500
dig,708.6000
other,713.8500
dig,714.3000
other,717.9000
dig,720.1000
other,721.9000
rear,722.2500
other,723.0000
rear,725.0500
other,726.6000
groom,903.3000
other,909.1500
groom,910.8500
other,911.6500
groom,912.7000
other,916.8000
groom,918.6000
other,921.0500
groom,922.5000
other,932.2000
groom,936.7500
other,941.3000
groom,942.7000
other,948.0500
groom,950.2500
other,951.4500
groom,952.3000
other,953.4000
groom,955.4000
other,956.1000
dig,961.5500
other,962.9000
dig,972.5000
other,973.6500
rear,1011.4000
other,1014.4500
dig,1028.0500
other,1028.5500
dig,1028.9500
other,1029.3500
dig,1030.7000
other,1031.7500
dig,1033.1000
other,1034.0500
rear,1035.6000
other,1038.8500
dig,1047.6500
other,1048.1500
dig,1048.7500
other,1052.1000
groom,1075.1000
other,1075.5500
dig,1087.7000
other,1089.9500
dig,1090.9500
other,1093.3500
dig,1095.0500
other,1095.5000
dig,1097.1500
other,1097.9000
dig,1099.8000
other,1100.1000
rear,1100.8500
other,1102.4000
dig,1110.5000
other,1111.6000
dig,1151.2500
other,1151.6000
dig,1182.4000
other,1183.9500
dig,1197.8000
VIDEO_END,1200.0000
